item_id,name_id,desc_id,name,grade,desc,effects
,名称ID,描述ID,名称,等级(练气/筑基/金丹/元婴),描述/提示词,JSON形式（支持宽松格式，见effects.py说明）
2001,AUXILIARY_2001_NAME,AUXILIARY_2001_DESC,木灵甲,筑基,以灵木纤维编织，生机盎然，防御尚可.,{damage_reduction: 0.08}
2002,AUXILIARY_2002_NAME,AUXILIARY_2002_DESC,血精果,筑基,生于至阳之地，色泽如血，不仅治伤，更能增进功力。,{extra_hp_recovery_rate: 0.3}
2003,AUXILIARY_2003_NAME,AUXILIARY_2003_DESC,人参果(伪),筑基,虽不及真品，闻一闻也能活三百六十岁.,{extra_max_lifespan: 50}
2004,AUXILIARY_2004_NAME,AUXILIARY_2004_DESC,万宝令,筑基,千帆城通用的高级商令。,"{extra_item_sell_price_multiplier: 0.1, shop_buy_price_reduction: 0.1}"
2005,AUXILIARY_2005_NAME,AUXILIARY_2005_DESC,铁精,筑基,提炼百斤凡铁才得一两，提升法器品质的基础材料.,{extra_weapon_upgrade_chance: 0.05}
2006,AUXILIARY_2006_NAME,AUXILIARY_2006_DESC,通天法眼,筑基,可勘破虚妄，洞察本源，寻觅天地灵机，直视大道。,"{extra_observation_radius: 1, extra_fortune_probability: 0.005}"
2007,AUXILIARY_2007_NAME,AUXILIARY_2007_DESC,踏云靴,筑基,步履生云，身轻如燕，赶路必备.,"{extra_escape_success_rate: 0.15, extra_move_step: 1}"
2008,AUXILIARY_2008_NAME,AUXILIARY_2008_DESC,菩提子,筑基,佛门至宝，持之可灵台清明，悟性大增.,"{extra_breakthrough_success_rate: 0.1, extra_retreat_success_rate: 0.15}"
2009,AUXILIARY_2009_NAME,AUXILIARY_2009_DESC,金丝软甲,筑基,刀枪不入，水火不侵，贴身软甲.,"{extra_max_hp: 100, damage_reduction: 0.05}"
2010,AUXILIARY_2010_NAME,AUXILIARY_2010_DESC,玄冰玉榻,筑基,极北玄冰所制，在此修炼可镇压心火，事半功倍。,"{respire_duration_reduction: 0.2, extra_retreat_success_rate: 0.15}"
2011,AUXILIARY_2011_NAME,AUXILIARY_2011_DESC,无相面具,筑基,千人千面，不仅掩盖容貌，更能掩盖气息.,{extra_plunder_multiplier: 0.5}
2051,AUXILIARY_2051_NAME,AUXILIARY_2051_DESC,神风舟,金丹,飞行法器，速度极快，居家旅行杀人越货必备.,"{extra_move_step: 2, extra_escape_success_rate: 0.15}"
2052,AUXILIARY_2052_NAME,AUXILIARY_2052_DESC,昆仑镜,金丹,上古神器，拥有穿梭时空之力，此为仿品，仅能窥探远方.,{extra_observation_radius: 2}
2053,AUXILIARY_2053_NAME,AUXILIARY_2053_DESC,造化翠瓶,元婴,夺天地之造化，聚日月之精华，瓶中灵液可催熟万物。,"{extra_respire_exp: 150, respire_duration_reduction: 0.2}"
2054,AUXILIARY_2054_NAME,AUXILIARY_2054_DESC,龙凤呈祥戒,金丹,龙凤和鸣，心意相通，双修进境一日千里.,{extra_dual_cultivation_exp: 100}
2055,AUXILIARY_2055_NAME,AUXILIARY_2055_DESC,隐形披风,金丹,披上后身形尽隐，连神识也难以察觉.,"{extra_move_step: 1, extra_escape_success_rate: 0.2}"
2056,AUXILIARY_2056_NAME,AUXILIARY_2056_DESC,御兽环,金丹,套在妖兽颈上，任其凶焰滔天，也要乖乖听命.,{extra_catch_success_rate: 0.1}
2057,AUXILIARY_2057_NAME,AUXILIARY_2057_DESC,太虚甲,金丹,太虚幻境所化，万法不沾，防御力惊人.,"{damage_reduction: 0.2, extra_max_hp: 200}"
2058,AUXILIARY_2058_NAME,AUXILIARY_2058_DESC,八卦炉,金丹,仿太上老君炼丹炉，丹成九转，药效倍增.,"{extra_hp_recovery_rate: 0.5, extra_refine_success_rate: 0.15}"
2059,AUXILIARY_2059_NAME,AUXILIARY_2059_DESC,聚宝盆,金丹,放入一文，取出万贯，财源滚滚.,"{extra_item_sell_price_multiplier: 0.2, extra_fortune_probability: 0.01, shop_buy_price_reduction: 0.2}"
2060,AUXILIARY_2060_NAME,AUXILIARY_2060_DESC,天地烘炉,金丹,以天地为炉，造化为工，炼制万物.,"{extra_weapon_upgrade_chance: 0.15, extra_cast_success_rate: 0.1, extra_refine_success_rate: 0.1}"
2061,AUXILIARY_2061_NAME,AUXILIARY_2061_DESC,六道剑匣,金丹,背负六道，剑出轮回，悟剑良伴.,"{extra_breakthrough_success_rate: 0.2, extra_respire_exp: 100}"
2062,AUXILIARY_2062_NAME,AUXILIARY_2062_DESC,传国玉玺,元婴,受命于天，既寿永昌。皇威浩荡，震慑宵小.,{realm_suppression_bonus: 0.15}
2063,AUXILIARY_2063_NAME,AUXILIARY_2063_DESC,灵泉之眼,金丹,可移动的灵气之眼，随身携带的修行宝地。,"{respire_duration_reduction: 0.3, extra_respire_exp: 50}"
2064,AUXILIARY_2064_NAME,AUXILIARY_2064_DESC,万魂幡,元婴,血海不枯，冥河不死。极度邪恶的掠夺法宝.,"{legal_actions: ['DevourPeople'], extra_plunder_multiplier: 1.0, realm_suppression_bonus: 0.15, extra_battle_strength_points: 'get_ten_thousand_souls_banner_bonus(int(avatar.auxiliary.special_data.get(""devoured_souls"", 0)))', _desc: 'effect_ten_thousand_souls_banner_desc'}"
2065,AUXILIARY_2065_NAME,AUXILIARY_2065_DESC,青木神鼎,元婴,上古神木雕琢而成，不仅可炼丹，更能自成空间催熟灵药。,"{extra_refine_success_rate: 0.25, respire_duration_reduction: 0.15}"
