id,name_id,desc_id,name,desc,effect_desc,effects,style_tag,official_preference_type,official_preference_value,weight
,名称ID,描述ID,,王朝描述,效果描述,预留JSON效果,王朝风气,官职倾向类型,官职倾向值,权重
1,DYNASTY_QIN_NAME,DYNASTY_QIN_DESC,秦,尚法重军，朝纲严整，凡俗秩序如铁。,,"{extra_govern_reputation_gain_multiplier: 0.35}",尚法重军,alignment,RIGHTEOUS,1
2,DYNASTY_JIN_NAME,DYNASTY_JIN_DESC,晋,门第森然，士族清谈，朝野重礼而尚名教。,,"{extra_govern_reputation_gain_multiplier: 0.35}",清谈名教,orthodoxy,confucianism,1
3,DYNASTY_SONG_NAME,DYNASTY_SONG_DESC,宋,重文轻武，典章繁密，民间书院兴盛。,,"{extra_govern_reputation_gain_multiplier: 0.35}",重文理政,orthodoxy,confucianism,1
4,DYNASTY_LIANG_NAME,DYNASTY_LIANG_DESC,梁,宫廷清雅，士风浮丽，兼容并蓄而多机变。,,"{extra_govern_reputation_gain_multiplier: 0.35}",风流雅政,gender,female,1
5,DYNASTY_CHU_NAME,DYNASTY_CHU_DESC,楚,地广俗杂，巫风犹存，边地豪强并起。,,"{extra_govern_reputation_gain_multiplier: 0.35}",山泽杂行,alignment,NEUTRAL,1
6,DYNASTY_QI_NAME,DYNASTY_QI_DESC,齐,工商富庶，沿海通达，朝廷善于聚敛调度。,,"{extra_govern_reputation_gain_multiplier: 0.35}",尚实通商,persona_key,INTO_WORLD,1
7,DYNASTY_YAN_NAME,DYNASTY_YAN_DESC,燕,北地苦寒，尚武守边，朝廷风格沉毅。,,"{extra_govern_reputation_gain_multiplier: 0.35}",沉毅守边,gender,male,1
8,DYNASTY_ZHAO_NAME,DYNASTY_ZHAO_DESC,赵,骑射成俗，军政并重，边镇气息浓厚。,,"{extra_govern_reputation_gain_multiplier: 0.35}",骑射尚武,orthodoxy,wu,1
9,DYNASTY_WEI_NAME,DYNASTY_WEI_DESC,魏,法度明密，君权强盛，百官运转高效。,,"{extra_govern_reputation_gain_multiplier: 0.35}",法密权重,alignment,RIGHTEOUS,1
10,DYNASTY_HAN_NAME,DYNASTY_HAN_DESC,韩,国势虽不张扬，却重实务与基层治理。,,"{extra_govern_reputation_gain_multiplier: 0.35}",务本守成,persona_key,ORTHODOX_GENTLEMAN,1
11,DYNASTY_WU_NAME,DYNASTY_WU_DESC,吴,水网纵横，商旅频繁，朝廷善用舟楫之利。,,"{extra_govern_reputation_gain_multiplier: 0.35}",柔治机变,gender,female,1
12,DYNASTY_YUE_NAME,DYNASTY_YUE_DESC,越,山泽深密，民风坚忍，朝廷善守而后发。,,"{extra_govern_reputation_gain_multiplier: 0.35}",坚忍后发,orthodoxy,dao,1
