id,name_id,desc_id,name,desc,stage_id
1,MATERIAL_1_NAME,MATERIAL_1_DESC,灵兔毛,灵性充沛的兔子细毛，质地柔软温暖，适合编织防寒衣物,1
2,MATERIAL_2_NAME,MATERIAL_2_DESC,魔狼牙,凶猛魔狼的锋利狼牙，蕴含魔力，是锻造利器的珍贵材料,2
3,MATERIAL_3_NAME,MATERIAL_3_DESC,青云鹿角,青云鹿的羼玉之角，蕴含清灵之气，是炼丹的上品药材,1
4,MATERIAL_4_NAME,MATERIAL_4_DESC,暗影豹爪,暗影豹的锋利爪子，轻盈而德，能增强武器的敏捷度,2
5,MATERIAL_5_NAME,MATERIAL_5_DESC,龙龟甲片,碧海龙龟的古老甲片，坚不可摧，蕴含海洋灵力，是顶级防具材料,3
6,MATERIAL_6_NAME,MATERIAL_6_DESC,山熊胆,石甲山熊的珍贵熊胆，能增强体质和力量，是体修者的珍贵药材,2
7,MATERIAL_7_NAME,MATERIAL_7_DESC,风速马鬃,风速马的飘逸鬃毛，轻如风羽，能用于炼制速度类法器,2
8,MATERIAL_8_NAME,MATERIAL_8_DESC,熔岩鳞片,熔岩蜥蜴的赤红鳞片，耐高温且蕴含火系灵力，是火属性法器的核心材料,3
9,MATERIAL_9_NAME,MATERIAL_9_DESC,毒瘴囊,毒瘴蛙的毒素囊袋，内含剧毒，是炼制毒类丹药的稀有材料,2
10,MATERIAL_10_NAME,MATERIAL_10_DESC,奇草精华,奇草提炼的精华，具有神奇的治愈效果,1
11,MATERIAL_11_NAME,MATERIAL_11_DESC,灵木心,灵木的珍贵木心，蕴含浓郁灵力，是制作法器的核心材料,2
12,MATERIAL_12_NAME,MATERIAL_12_DESC,仙人掌刺,沙漠仙人掌的灵药刻刺，能解百毒，制成针剂后效果显著,1
13,MATERIAL_13_NAME,MATERIAL_13_DESC,雪莲花瓣,寒霜雪莲的洁白花瓣，蕴含极寒之气，是寒性药材的最佳选择,2
14,MATERIAL_14_NAME,MATERIAL_14_DESC,灵芝孢子,水灵芝的蓝色孢子，能增强水行修炼者的灵力流通,2
15,MATERIAL_15_NAME,MATERIAL_15_DESC,雪绒花蕊,雪绒花的纯白花蕊，具有安神镇静功效，是冥想辅助的理想药材,1
16,MATERIAL_16_NAME,MATERIAL_16_DESC,古松松脂,千年古松的珍贵松脂，晶莹如琥珀，蕴含浓郁灵力，是高级炼器的稀有材料,3
17,MATERIAL_17_NAME,MATERIAL_17_DESC,灵稻精华,五谷灵稻提炼的精华，能快速强化体质，是体修丹药的主要成分,1
18,MATERIAL_18_NAME,MATERIAL_18_DESC,神牛角,撼地神牛的独角，蕴含厚重的大地之力，是炼制重型法宝和防御阵盘的极品材料,3
19,MATERIAL_19_NAME,MATERIAL_19_DESC,清音竹节,九曲清音竹中最精华的一节，敲击时能发出安神定志的清音，是制作音波类法宝的绝佳材料,2
20,MATERIAL_20_NAME,MATERIAL_20_DESC,冰魄蛇胆,冰魄骨蛇的内丹所在，虽为极寒之物，但吞服后能大幅增强修士对寒气的亲和力，是修炼寒系功法的至宝,2
21,MATERIAL_21_NAME,MATERIAL_21_DESC,星纹叶,叶面上天生带有星辰纹路的草叶，蕴含纯净的星辰之力，是炼制星辰属性丹药的主材,2
22,MATERIAL_22_NAME,MATERIAL_22_DESC,赤果核,涅盘赤果的果核，即便果肉枯萎，核心仍锁有一丝不灭生机，是炼制延寿丹和疗伤圣药的关键,3
101,MATERIAL_101_NAME,MATERIAL_101_DESC,玄铁,普通的黑色铁矿，质地坚硬，适合打造练气期法器,1
102,MATERIAL_102_NAME,MATERIAL_102_DESC,赤精铜,通体赤红的铜矿，蕴含火灵之力，是筑基期炼器的常用材料,2
103,MATERIAL_103_NAME,MATERIAL_103_DESC,秘银,银白色的稀有金属，延展性极佳且能传导灵力，适用于金丹期法宝,3
104,MATERIAL_104_NAME,MATERIAL_104_DESC,庚金,锐气逼人的金色矿石，坚不可摧，乃是元婴期炼制本命法宝的顶级材料,4
